0	5.53
0	5.85
1	8.18
2	12.14
4	12.32
4	12.47
9	16.49
24	30.37
30	27.81
32	24.91
38	42.71
39	41.08
46	47.37
49	47.16
51	40.09
54	52.86
57	50.25
62	51.86
64	58.12
66	47.14
66	56.26
67	48.85
83	67.88
87	87.18
89	82.62
92	77.44
93	113.26
95	84.16
103	87.67
106	82.96
107	89.05
112	75.1
119	102.44
132	95.22
139	99.34
141	102.93
142	94.19
143	96.84
155	102.42
156	104.31
166	122.78
172	133.45
186	132.59
188	131.4
190	124.79
206	146.37
226	154.84
246	158.5
263	194.44
264	185.1
265	177.57
282	193.23
287	193.28
299	182.47
309	276.59
320	222.73
322	215.56
323	220.88
326	226.92
326	228.84
330	224.82
331	209.85
339	220.15
339	242.83
343	243.11
344	255.9
357	240.55
367	261.93
368	249.64
380	246.78
381	252.82
422	288.86
428	297.06
437	323.76
450	322.25
510	369.82
527	388.13
530	363.27
532	375.92
545	553.3
555	385.53
556	439.55
570	403.32
610	458.81
612	470.39
654	489.38
663	489.82
666	488.62
672	479.86
683	665.5
708	564.34
708	802.27
711	495.06
735	515.39
737	580.36
761	548.21
769	605.73
780	570.15
796	596.15
808	585.5
