0	5.66
2	12.36
5	10.01
6	12.34
7	16.69
7	19.73
9	20.78
11	17.86
12	6.41
13	18.28
14	18.34
15	25.66
24	32.65
27	13.95
35	23.34
41	23.92
46	37.67
70	83.77
72	44.58
91	66.28
95	75.64
109	113.75
114	64.14
114	101.6
115	69.87
123	88.98
125	103.43
126	55.48
132	113.59
138	106.98
170	72.85
170	123.05
173	141.95
186	149.21
187	114.39
219	147.72
235	131.02
237	123.87
241	144.91
241	175.54
278	205.36
279	209.75
280	181.73
280	213.96
285	205.13
325	220.71
330	221.12
342	200.7
353	257.78
374	280.98
375	330.17
385	305.54
403	309.47
417	364.8
442	370.49
462	365.32
479	356.67
490	390.59
495	456.71
501	389.23
531	360.64
532	424.06
536	366.69
572	394.3
610	548.95
615	508.94
641	573.04
651	570.29
697	575.23
714	670.1
715	788.04
735	655.91
739	654.31
770	625.72
776	787.04
780	737.96
784	704.41
784	715.23
785	618.11
834	751.55
835	753.2
877	816.25
882	875.68
947	1011.23
983	1008.21
1005	994.13
1014	1010.35
1028	1076.36
1123	1120.28
1139	1299.41
1154	1234.78
1241	1434.56
1259	1438.86
1284	1465.26
1287	1468.43
1344	1514.74
1345	1649.92
1351	1670.59
1365	1602.97
1399	1502.2
