1	18
2	14
3	28
4	25
5	44
6	114
7	93
8	222
9	213
10	528
11	578
12	914
13	789
14	2622
15	2203
16	6436
17	7836
18	11708
19	11572
20	17071
21	26296
22	27148
23	36408
24	47432
25	61326
26	78524
27	70221
28	123648
29	126093
30	135830
31	181142
32	300325
33	277229
34	342362
35	401046
36	413407
37	453468
38	533916
39	758931
40	743091
41	899707
42	951534
43	1225516
44	1322158
45	1547183
46	1887864
47	1835820
48	1983939
49	2510278
50	3114042
51	3302931
52	3890894
53	3840172
54	5081214
55	5527425
56	6401773
57	6310019
58	7219386
59	8122607
60	9249871
61	9336747
62	10371908
63	11159980
64	13177701
65	14900531
66	15101738
67	15965011
68	19231630
69	20635757
